page,filepath,noise_mad,noise_wavelet,noise_laplacian,time_calculate_noise_features,edge_density,edge_strength,time_calculate_edge_features,print_pattern_energy,print_pattern_variance,time_calculate_print_pattern_features,histogram_entropy,histogram_spread,time_calculate_histogram_features,dct_high_freq_mean,dct_low_freq_var,time_calculate_dct_features,high_freq_energy,moire_score,halftone_score,time_analyze_frequency_domain,ela_mean,ela_variance,ela_regional_var,time_enhanced_ela_analysis,saturation_variance,value_variance,time_calculate_color_features,blocking_artifacts,double_compression_likelihood,time_check_jpeg_artifacts,clone_detection_score,time_detect_clones,luminance_gradient_var,time_analyze_luminance_gradients,phash,time_calculate_phash,meta_basic_title,meta_basic_author,meta_basic_creator,meta_basic_producer,meta_basic_creation_date,meta_basic_modification_date,meta_basic_time_extract_pdf_metadata,meta_forensic_software_indicators,meta_forensic_date_anomalies,meta_forensic_metadata_anomaly_score,meta_forensic_error_exiftool,meta_forensic_raw_exif,meta_forensic_time_enhanced_metadata_analysis,document_type_label
11,original_docs\HL25ARU000191509 - GIFT DEED -ORG.pdf,0.0,0.0,291.23640095353574,0.13653060000069672,0.032386999578900316,390.78865573198135,0.08909599999969942,206.37553513114116,494.48480204290644,0.3812426999993477,2.3252463340759277,256.0,0.002199599999585189,3.659496061621367,981010.2573612664,0.008415399999648798,173.42854201211088,203.8092188114196,61.0,0.05356709999978193,0.4392764261836348,1.059812134600001,0.47561777780277464,0.10939440000038303,0.0,896.8557797019649,0.051235899998573586,2.749772071838379,0.40944999471380605,0.1562475999999151,0.0,0.2051781000009214,9117.420931289489,0.10064509999938309,eb908c9fe43be860,0.018433100000038394,,,PDFium,PDFium,D:20250430131856,,0.0010696999997890089,[],False,0.0,Exiftool not found,{},0.009107100000619539,original
12,original_docs\HL25ARU000191509 - GIFT DEED -ORG.pdf,6.0,2.0966843029993956,795.5634937948982,0.18457060000037018,0.04568845608155674,486.4420180536129,0.08893050000006042,214.2850217195714,441.5851694105129,0.3066134000000602,5.120484352111816,256.0,0.0009695999997347826,5.378568777939594,902558.4440475906,0.008172300000296673,180.9494159868627,207.93344220563313,67.0,0.0498965999995562,1.369112141555641,2.44768975039057,1.4198644739024393,0.11481490000005579,0.0,1667.5176939403682,0.04811419999896316,6.66534948348999,0.3181680216045898,0.16336190000038187,0.0,0.1766743000007409,16815.256927404054,0.10143299999981537,afc3194bd0c4d81f,0.01852809999945748,,,PDFium,PDFium,D:20250430131856,,0.0010696999997890089,[],False,0.0,Exiftool not found,{},0.009107100000619539,original
13,original_docs\HL25ARU000191509 - GIFT DEED -ORG.pdf,2.0,1.0483421514996663,908.1946293560889,0.16343700000106764,0.05347895232556344,385.0025804941513,0.09427909999976691,214.0244024496158,343.4617331220806,0.49848130000100355,4.428380489349365,256.0,0.0013502000001608394,4.674726169122364,902728.0844869377,0.009475199998632888,179.4172495423023,201.14389139679926,63.0,0.053597399999489426,0.9717751689423924,2.214267410338196,1.2984794964170217,0.0956263999996736,0.0,2212.5961919231754,0.047410799999852316,5.447125434875488,0.42303561418944996,0.16453680000086024,0.0,0.18459009999969567,14527.783769507496,0.11022720000073605,ab95e54bc4f4c324,0.017772900000636582,,,PDFium,PDFium,D:20250430131856,,0.0010696999997890089,[],False,0.0,Exiftool not found,{},0.009107100000619539,original
14,original_docs\HL25ARU000191509 - GIFT DEED -ORG.pdf,2.0,1.0483421514997082,1275.1308427123854,0.14976410000053875,0.08188629056116394,342.01133598166706,0.0964404000005743,217.4179399281751,324.94440597047264,0.4702242000003025,5.076584815979004,256.0,0.0017036000008374685,5.620407370138373,816938.3753603222,0.008526999999958207,182.71410546386565,202.78714291202567,72.0,0.04480560000047262,1.198058099106984,3.042313958544285,2.4427406263368225,0.11366780000025756,0.0,3456.5520485761426,0.04840930000136723,7.339719772338867,0.47640840367617954,0.1638559000002715,0.0,0.21609199999875273,17497.346145301748,0.0996300999995583,ce17ad4ea1a1d0ad,0.017438400000173715,,,PDFium,PDFium,D:20250430131856,,0.0010696999997890089,[],False,0.0,Exiftool not found,{},0.009107100000619539,original
15,original_docs\HL25ARU000191509 - GIFT DEED -ORG.pdf,3.0,1.0483421514997082,534.9083067444831,0.20130199999948672,0.02411761941485255,604.1452099168432,0.10057469999992463,208.94118557121826,413.24105865666536,0.6390952999990986,4.289473533630371,256.0,0.0013824999987264164,3.96827007836065,954827.2999068948,0.008075499999904423,174.21934703780514,196.12480320945863,38.0,0.03763919999983045,0.8531812522563436,1.069918996065634,0.39293979706308285,0.10951580000073591,0.0,1118.5825369498327,0.05765219999921101,3.735159397125244,0.20307790903604053,0.1611881999997422,0.0,0.1037599000010232,13905.764431746642,0.11621310000009544,b603c2764bcf36c1,0.020844700000452576,,,PDFium,PDFium,D:20250430131856,,0.0010696999997890089,[],False,0.0,Exiftool not found,{},0.009107100000619539,original
16,original_docs\HL25ARU000191509 - GIFT DEED -ORG.pdf,3.0,1.0483421514997082,556.8669184467902,0.19709790000160865,0.026547954243205052,527.0576002922726,0.1128828999990219,211.77127006553854,416.4360085842259,0.5308671000002505,4.6387200355529785,256.0,0.0009284999996452825,4.734716363248973,915746.9985170842,0.011782100000345963,177.1784009659883,199.60381138074908,53.0,0.042373199999929057,0.939551341326573,1.4843381343937552,0.620548222747491,0.125469399999929,0.0,1855.78790877032,0.05881000000044878,4.116992950439453,0.272905798560442,0.18825880000076722,0.0,0.1156154999989667,12752.323501513443,0.12184530000013183,a727d8d87063270f,0.02133259999936854,,,PDFium,PDFium,D:20250430131856,,0.0010696999997890089,[],False,0.0,Exiftool not found,{},0.009107100000619539,original
17,original_docs\HL25ARU000191509 - GIFT DEED -ORG.pdf,4.0,1.0483421514997082,1091.8841702146601,0.1994512000001123,0.056847498771683845,522.7330164462102,0.10778300000129093,217.91497304106124,429.7940828391737,0.48594779999984894,5.394647121429443,256.0,0.0010758000007626833,5.840978411235307,836339.8343153335,0.00819460000093386,183.2331392513755,205.93006303385508,55.0,0.04981399999996938,1.1915169576106812,2.0985607894371254,0.9945961383168054,0.1441343999995297,0.0,3525.6627826021736,0.06839490000129445,6.925884246826172,0.3162394250929774,0.19937449999997625,0.0,0.16242870000132825,24981.389076403433,0.11932610000076238,eb6d9896613296c6,0.028015600000799168,,,PDFium,PDFium,D:20250430131856,,0.0010696999997890089,[],False,0.0,Exiftool not found,{},0.009107100000619539,original
1,original_docs\HL25ARU000191509 - MORTAGE DEED- ORG.pdf,4.0,1.0483421514997082,863.5527528168515,0.08511820000057924,0.0398126508599617,517.7806428509612,0.04856579999977839,208.2522471630849,422.28775148821273,0.25884249999944586,5.393012046813965,256.0,0.000649500001600245,3.5333803937038413,846361.1128115947,0.006682499999442371,173.71320294171173,206.3194454433276,63.0,0.04445620000115014,1.2489230108532898,2.1348018617990396,1.4780621282184714,0.06942290000006324,0.0,2762.5208047128895,0.02590789999885601,6.010257720947266,0.306953284323963,0.07654879999972763,0.0,0.18060850000074424,18034.698090675207,0.054033099999287515,be22c3cb682cb3f0,0.010662499998943531,,,PDFium,PDFium,D:20250430131636,,0.018927199998870492,[],False,0.0,Exiftool not found,{},0.007400899999993271,original
2,original_docs\HL25ARU000191509 - MORTAGE DEED- ORG.pdf,4.0,1.0483421514997082,863.335653021836,0.20184269999845128,0.03821125663252691,561.7695589760026,0.12131130000125268,215.96739763438833,385.05303693148403,0.666503600001306,4.924200534820557,256.0,0.001138899999205023,5.298290356136171,901157.1411427628,0.010413899999548448,180.52187528224061,200.5996064028364,44.0,0.03978860000097484,1.0742608570691128,1.7438495598348291,1.0953061183797832,0.13236510000024282,0.0,1990.0121953430682,0.05809219999900961,5.437020301818848,0.293094913905555,0.20708659999945667,0.0,0.16520479999962845,18332.632130873415,0.1154898000004323,e363cc8cb534349d,0.020356600000013714,,,PDFium,PDFium,D:20250430131636,,0.018927199998870492,[],False,0.0,Exiftool not found,{},0.007400899999993271,original
3,original_docs\HL25ARU000191509 - MORTAGE DEED- ORG.pdf,4.0,1.0483421514997082,1119.9374610263217,0.23313789999883738,0.04905726412776119,649.461848724732,0.12024600000040664,216.73633003595017,439.55169978294924,0.46806310000101803,4.995360374450684,256.0,0.000995800000964664,5.947474928635781,881935.6569499242,0.009643800000048941,182.30131365759897,205.3787346478848,40.0,0.039465500000005704,1.1034028687239184,1.6053480361248071,0.667322609109791,0.1181562000001577,0.0,2697.1696888875313,0.05669820000002801,6.855958938598633,0.25136996938007816,0.17385929999909422,0.0,0.1422021999987919,30553.20979389234,0.11836270000094373,af07f06c8717e0c3,0.021293300000252202,,,PDFium,PDFium,D:20250430131636,,0.018927199998870492,[],False,0.0,Exiftool not found,{},0.007400899999993271,original
4,original_docs\HL25ARU000191509 - MORTAGE DEED- ORG.pdf,3.0,1.0483421514997082,242.62182989161562,0.20539539999845147,0.012442052711770998,574.1177123537299,0.09945960000004561,204.19343217802142,466.6602620599138,0.5393191000002844,4.155463695526123,256.0,0.0009497000010014744,3.335348392428352,973101.3215485652,0.009504600000582286,170.74106944260262,195.4483044888583,55.0,0.03897239999969315,0.7969129358878767,0.8706571799259181,0.20425992608526095,0.10917330000120273,0.0,666.4893766229779,0.05729579999933776,2.59942626953125,0.16281680542552643,0.16814200000044366,0.0,0.10211879999951634,7197.139764685491,0.11982249999891792,aec56a3cc13c34cb,0.020726200000353856,,,PDFium,PDFium,D:20250430131636,,0.018927199998870492,[],False,0.0,Exiftool not found,{},0.007400899999993271,original
