dpi,sharpness,noise,contrast,edge_density,hist_diff,lbp_variance,lbp_uniformity,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,high_freq_energy,moire_score,halftone_score,spectral_flatness,page,document_id,document_type,filename
221.12120550745118,187.7410119554264,5.0,52.88751982755021,0.031573929486334244,22309.36052991946,0.005720057412823545,0.18718303119495064,7.757009756420266,0.7884301195236901,0.649615928784696,0.6237279296399497,165.5384412125789,249.98515064559405,99.3032897618073,0.9830947262422983,1,HL25ARU000191509 - GIFT DEED -ORG,original,HL25ARU000191509 - GIFT DEED -ORG.pdf
328.6415595135519,254.0757819983926,4.0,52.333236242133005,0.04017694080238862,22947.87219363184,0.004164232344744676,0.14673157942490003,14.19915953181495,0.7747495479910036,0.6966892806978818,0.3268313161427248,170.24380732337764,265.6444867461248,201.4148327033443,0.9820663241838616,2,HL25ARU000191509 - GIFT DEED -ORG,original,HL25ARU000191509 - GIFT DEED -ORG.pdf
300.55603079555175,269.8426374537393,0.0,48.882862429358134,0.03495805728884146,23756.86433422865,0.006820965272231904,0.21580663553956797,12.20344792932233,0.8294933417144875,0.7924317291866361,0.2863324491928651,166.96513144865605,260.3166620600345,165.18969318251652,0.9793303704404723,3,HL25ARU000191509 - GIFT DEED -ORG,original,HL25ARU000191509 - GIFT DEED -ORG.pdf
329.75362110465545,154.71652438328073,3.0,46.29677679078149,0.02449250457389903,23649.77561825027,0.004023102894332323,0.14306221371417885,8.278853590074398,0.8698514569975934,0.8229772897304198,0.4328812384131758,165.77646900883906,263.35379424989014,143.43884258466636,0.9821950077254689,4,HL25ARU000191509 - GIFT DEED -ORG,original,HL25ARU000191509 - GIFT DEED -ORG.pdf
328.8023538343938,169.7995139520179,5.0,49.24975911908016,0.03443141348587913,22414.321728233437,0.004660477452135989,0.15963395221707416,14.286024282908478,0.6844063864919042,0.41858465785402027,0.23662666416967046,170.51021398328095,269.55047369192175,275.14235882425464,0.9823918520097132,5,HL25ARU000191509 - GIFT DEED -ORG,original,HL25ARU000191509 - GIFT DEED -ORG.pdf
328.58110002141166,202.10555367310235,5.0,54.09137488026516,0.040830242241085266,22047.227894907293,0.0044692041878122805,0.1546608473446578,18.087523730007113,0.648364461608058,0.3905392752229991,0.20774781892113547,171.6662535078342,270.93090922793476,251.0031547829598,0.9821857938686621,6,HL25ARU000191509 - GIFT DEED -ORG,original,HL25ARU000191509 - GIFT DEED -ORG.pdf
328.5987879138941,193.46258887256604,5.0,52.09537311379637,0.038521353970632256,22380.066776073993,0.00452068437654145,0.1559993322516162,17.26362847066844,0.6702560640368732,0.44016960781998377,0.21118264474770912,172.09280602799186,270.5826720291406,297.908456060584,0.9829506760290333,7,HL25ARU000191509 - GIFT DEED -ORG,original,HL25ARU000191509 - GIFT DEED -ORG.pdf
329.34648926365617,174.28572782829258,5.0,54.72242238885084,0.03156609210075169,21978.14765087341,0.004390340967729119,0.1526104036224955,11.59067096889965,0.683590218899052,0.4076231018899454,0.5079866158286032,169.94503741523505,267.2567924530966,175.55482615355712,0.9830148750871053,8,HL25ARU000191509 - GIFT DEED -ORG,original,HL25ARU000191509 - GIFT DEED -ORG.pdf
349.8243623307884,126.66936752974597,6.0,45.14340195159681,0.033674457750304455,20220.294540399846,0.0046358411663522245,0.1589934087866963,11.362922401090385,0.6767057673859274,0.4591377815578726,0.2865805165310476,169.32984359672065,265.5063873649098,214.33788546878225,0.9833810281082855,9,HL25ARU000191509 - GIFT DEED -ORG,original,HL25ARU000191509 - GIFT DEED -ORG.pdf
300.0295832587718,92.82645822969917,0.0,34.06807174466721,0.01618236303856228,24564.252173064233,0.01186406404268416,0.34692720357132656,6.476596950119195,0.9054523119449863,0.8879895979474499,0.2298639730116652,164.97533914250795,259.33639549691117,290.7816946619567,0.9816462615548982,10,HL25ARU000191509 - GIFT DEED -ORG,original,HL25ARU000191509 - GIFT DEED -ORG.pdf
301.3494000080682,60.30540875849554,0.0,29.779022076155194,0.014981671275512337,24587.10322025122,0.01255593375566802,0.36491581610890694,4.565731799583077,0.8794145695750332,0.8516560968915933,0.24264280889533132,158.84443607878467,259.9405115927226,219.18936593906147,0.9786934615953652,11,HL25ARU000191509 - GIFT DEED -ORG,original,HL25ARU000191509 - GIFT DEED -ORG.pdf
300.3923402116134,174.8842245306726,6.0,40.36321558645336,0.032743820641738745,23469.405777827156,0.005174038206248865,0.17298653182400892,8.929773167326998,0.7677143150794444,0.6460534670064005,0.2738480945947429,173.77931508317315,264.3565401111143,255.47336597873536,0.9853856502297432,12,HL25ARU000191509 - GIFT DEED -ORG,original,HL25ARU000191509 - GIFT DEED -ORG.pdf
300.7020334870077,196.5129758794839,2.0,46.69000356559785,0.02681064660448771,23340.81257187004,0.004324916793871984,0.15090937510221003,8.088111813108396,0.793757042602783,0.7046070813028246,0.49590224195881255,173.45824096809594,259.8235499423583,204.37047050706053,0.9834497082560907,13,HL25ARU000191509 - GIFT DEED -ORG,original,HL25ARU000191509 - GIFT DEED -ORG.pdf
301.2815447012349,274.9679732797287,3.0,58.55474831694124,0.034958593054703,21914.68620011014,0.005109417247707278,0.17130638690192773,9.940547546486352,0.7033779775681084,0.5736412326701258,0.5954271885530648,177.98227817441324,260.8575607016345,168.66624793761957,0.9848312178960309,14,HL25ARU000191509 - GIFT DEED -ORG,original,HL25ARU000191509 - GIFT DEED -ORG.pdf
