noise_mad,noise_wavelet,noise_laplacian,time_calculate_noise_features,edge_density,edge_strength,time_calculate_edge_features,print_pattern_energy,print_pattern_variance,time_calculate_print_pattern_features,ela_mean,ela_variance,time_calculate_ela,saturation_variance,value_variance,time_calculate_color_features,histogram_entropy,histogram_spread,time_calculate_histogram_features,high_freq_energy,moire_score,halftone_score,time_analyze_frequency_domain,page,type
0.0,0.0,60.30540875849554,0.29961420000017824,0.022395252659774406,21.611028358941855,0.15667750000011438,205.57494159421137,399.1890569307752,0.2482836999997744,0.26499729591690285,0.41741567521157635,0.28305679999994027,0.0,886.7901558121383,0.11010269999997035,2.535846710205078,256.0,0.0026542000000517874,170.86373753920768,242.3752049411363,103.0,0.1598942000000534,11,original
6.0,1.0483421514997082,174.8842245306726,0.3524022999999943,0.032557312054964455,47.23289034016826,0.1677042999999685,212.65834174293607,352.38122641999485,0.1384624000002077,0.8065861792624399,1.025099454887179,0.28399899999976697,0.0,1629.189172478511,0.10584480000034091,5.260287284851074,256.0,0.0017600999999558553,181.64758895423842,246.20359533077567,114.0,0.13939559999971607,12,original
2.0,0.0,196.5129758794839,0.3075714000001426,0.03650382698644322,38.67429964493982,0.16334069999993517,209.17777941071975,315.4352557061276,0.24091479999970034,0.5940807888346349,0.9259197007653255,0.2834427000002506,0.0,2179.9564329555396,0.10711469999978362,4.632212162017822,256.0,0.00208440000005794,181.89538723392363,246.45700036085398,115.0,0.14711709999983213,13,original
3.0,1.0483421514996663,274.9679732797287,0.3143001000003096,0.0522860600590745,50.42769474783179,0.1795419000000038,212.34315621658035,293.6210580809922,0.17314130000022487,0.7370936349050068,1.2735412850187435,0.27707120000013674,0.0,3428.658550460333,0.10313229999974283,5.247772693634033,256.0,0.0023022000000310072,186.1376829963278,247.79687254861338,120.0,0.13311670000030063,14,original
3.0,1.0483421514996663,110.48549505134002,0.4207793999999012,0.01655378391116242,29.602569421748935,0.1974993999997423,206.33682035769624,329.99340505849875,0.2783288000000539,0.5102510122860792,0.47721294475461606,0.3308174999997391,0.0,1106.7719623569826,0.12524779999966995,4.403318881988525,256.0,0.002913299999818264,175.73048352890495,243.80774284532427,105.0,0.15228010000009817,15,original
3.0,1.0483421514996663,116.56274627736373,0.4360498999999436,0.016830171747676526,30.487711632214165,0.21430939999982002,209.32348840122515,329.07318198498814,0.2561869999999544,0.5648454070810899,0.6567336746944757,0.3246545000001788,0.0,1850.8927816203727,0.12490239999988262,4.77194356918335,256.0,0.002006600000186154,176.12479939818178,246.8918981182464,115.0,0.15928059999987454,16,original
4.0,1.0483421514997082,241.25595252364172,0.4136116999998194,0.0374434902649722,53.11842563149711,0.2051688000001377,215.30206542659414,346.44024154004296,0.25680469999997513,0.7008978393789855,0.8877268185787608,0.3429932000003646,0.0,3474.10000396179,0.12535299999990457,5.515853404998779,256.0,0.0020150999998804764,183.0194982055645,253.29589440918045,125.0,0.16214829999989888,17,original
4.0,1.0483421514997082,181.55191570489384,0.24599269999998796,0.024145952542881346,43.35373690566418,0.10366250000015498,205.5793871238392,332.7261137732894,0.1199163999999655,0.7393970617562986,0.9123721092230564,0.17603959999996732,0.0,2729.008179473184,0.06114049999996496,5.501224517822266,256.0,0.0009952000000339467,172.87818556055305,232.9895404054288,85.0,0.09968079999998736,1,original
3.0,1.0483421514997082,184.82850728826338,0.4617204999999558,0.02588475455523097,40.554501847755034,0.20294079999985115,212.56355115686424,299.83040916375313,0.31222969999998895,0.6364998114684145,0.7551634600600536,0.31548360000033426,0.0,1924.3300117841184,0.12733669999988706,5.033455848693848,256.0,0.0023624000000381784,182.6855843464067,244.49498685071728,105.0,0.14793970000027912,2,original
4.0,1.0483421514997082,230.35012231232218,0.4299647000002551,0.03300748969441273,55.450288534775275,0.20651020000013887,214.389276820949,346.57503403736763,0.3159626000001481,0.6451983704592518,0.6667595496836296,0.3271900999998252,0.0,2630.063243138659,0.12754659999973228,5.096601963043213,256.0,0.003797100000156206,180.73133887969246,251.5663351923088,97.0,0.22533279999970546,3,original
3.0,1.0483421514996663,51.239816096485654,0.4566152000002148,0.008086774607527733,19.748574820724293,0.20203840000021955,202.87237897051378,361.10603279992904,0.20651330000009693,0.4677849432864256,0.39808873104393017,0.31840299999976196,0.0,656.7239063596037,0.12314229999992676,4.249364376068115,256.0,0.002165800000057061,169.22544773940726,242.13101445733716,109.0,0.16917840000041906,4,original
0.0,0.0,260.2645379887142,0.31041559999994206,0.032076050712689166,50.3688572274015,0.16187170000011974,212.8748117196202,326.89444364447314,0.17417130000012548,0.3959290608625554,0.6056565889363473,0.2747205999999096,0.0,2215.9194011486766,0.1036060000001271,3.382978677749634,256.0,0.002126999999745749,179.51921525997523,245.1837416563647,153.0,0.120887699999912,5,original
3.0,1.0483421514996663,112.55649020048779,0.4283636000000115,0.018696913166661947,34.8243979108031,0.19820560000016485,209.58809233088272,383.2229904601713,0.26892180000004373,0.5583654318446908,0.5793731910698888,0.3236738000000514,0.0,1968.8148445794923,0.12248520000002827,4.663727283477783,256.0,0.0020153999998910876,175.0066852184574,246.72049796130332,138.0,0.16542410000010932,6,original
0.0,0.0,79.61813770107898,0.28147839999974167,0.025903912035237134,29.018048107745354,0.15480139999999665,209.32163963602204,384.0324995585357,0.2601561999999831,0.2989448070510856,0.47989487665167907,0.26656739999998535,0.0,1226.9463485789383,0.10551690000011149,2.7501778602600098,256.0,0.002291100000093138,171.4441340417399,243.8242300598158,129.0,0.1804616999997961,7,original
0.0,0.0,80.5547357439836,0.28415750000021944,0.02597921469891218,28.160578262078136,0.1517602000003535,209.07459480881198,378.3181357656256,0.2377822000003107,0.2720345414146481,0.4640544799401235,0.2850012000003517,0.0,1187.9665228544457,0.11069640000005165,2.4546244144439697,256.0,0.002075500000046304,171.52202613471715,243.33739807403643,113.0,0.1426766000004136,8,original
0.0,0.0,95.29395661132217,0.30282760000000053,0.031238000096513816,32.93346103119106,0.1544318999999632,209.9511718685618,358.54378145426205,0.22651959999984683,0.3511469935145918,0.5591619044772755,0.2700583999999253,0.0,1203.365643548578,0.10530580000022383,3.067211151123047,256.0,0.0032105000000228756,173.9452205965403,243.4089687026285,113.0,0.13350009999976464,9,original
0.0,0.0,21.93584405428083,0.28639990000010584,0.005083244397745148,7.745667052454843,0.14850879999994504,197.27101777429644,392.87791406673756,0.20453839999981938,0.1067602729480733,0.16348637588078963,0.2582723000000442,0.0,540.4127695459301,0.10402150000027177,1.457101583480835,256.0,0.0018559000000095693,160.85165269745985,239.46312404629234,67.0,0.14488410000012664,10,original
0.0,0.0,79.49619943671762,0.28184239999973215,0.027232546198711693,28.30420587340544,0.15082900000015798,208.49048484199267,366.84544038713426,0.15585559999999532,0.2867946967376229,0.4772340997096063,0.2670751000000564,0.0,1087.1803755570313,0.10281390000000101,2.558933734893799,256.0,0.002113799999733601,172.0610855757004,243.28386926604256,118.0,0.14480890000004365,11,original
0.0,0.0,21.59551507141968,0.2856202000002668,0.0045907049817387425,7.344420102282064,0.14644779999980528,197.274383985308,384.56686536835883,0.2111589000001004,0.1046921875803299,0.1606117772985942,0.2606897000000572,0.0,478.86670193920565,0.10594959999980347,1.463371992111206,256.0,0.0018008000001827895,162.11225854178545,237.2406228211522,79.0,0.1480901999998423,12,original
0.0,0.0,93.39356448498842,0.2878316999999697,0.02788698874461399,27.29519765863687,0.15655280000009952,209.3974589689775,342.24622990009146,0.26383869999972376,0.3009994587793013,0.5144518351560927,0.27329069999996136,0.0,3057.7458837593344,0.11044059999994715,3.0780701637268066,256.0,0.0019793000001300243,175.742276349625,249.3255955681097,99.0,0.1693702000002304,13,original
0.0,0.0,84.76056012501736,0.28528000000005704,0.03222380194935735,30.18581190139397,0.15772449999985838,208.57894092323687,363.0522620904637,0.17048060000024634,0.31858351794630285,0.49251596509910744,0.2702033999999003,0.0,1918.51596997406,0.10887289999982386,2.9854819774627686,256.0,0.0013441999999486143,171.96175582260707,245.46309301426496,118.0,0.1338386000002174,14,original
0.0,0.0,112.82546098319084,0.3106354999999894,0.04582058704588298,41.198582737120006,0.15745079999987865,211.51995681746743,347.2249694144276,0.1761090999998487,0.42399632235016727,0.6364944343205311,0.2778139000001829,0.0,2058.9928026348416,0.10447469999962777,3.58774995803833,256.0,0.002194899999722111,175.99166956031644,244.93919787682998,109.0,0.18491809999977704,15,original
0.0,0.0,92.61209069907594,0.28861239999969257,0.03362408232587019,32.21362148506088,0.16253619999997682,209.2511565284601,352.5240274638666,0.1789091999999073,0.34162839219840024,0.5500542587446335,0.2728735999999117,0.0,1901.5907621749354,0.10965039999973669,3.0258965492248535,256.0,0.001932199999828299,173.291929139864,245.0480016695858,112.0,0.1653449999998884,16,original
0.0,0.0,138.45563719553223,0.2886128000000099,0.036957426765963176,36.180681668456344,0.15444469999965804,210.75467480001137,330.3423291596481,0.19408960000009756,0.4206920405317574,0.7112685212717352,0.2745549999999639,0.0,1972.0780198548337,0.10644109999975626,3.3603439331054688,256.0,0.002188500000102067,180.3720760003422,244.17178757613942,107.0,0.1882741999997961,17,original
0.0,0.0,89.06202598563671,0.28043280000019877,0.030538212726900285,29.951787689896342,0.1532497999996849,209.06851837784652,360.1121476570986,0.2141084999998384,0.3180483876083369,0.5338882418915193,0.27034150000008594,0.0,1979.4700279486692,0.10740030000033585,2.8247604370117188,256.0,0.001960300000064308,174.71896182275688,245.62861062328446,105.0,0.145728599999984,18,original
0.0,0.0,34.42254805673406,0.28133299999990413,0.008902067973929879,12.188110583739943,0.14648850000003222,200.56828677509313,388.35892528742323,0.2263054000000011,0.17479416366150996,0.27318329157756477,0.26459750000003623,0.0,805.6548670952831,0.10640849999981583,2.1090612411499023,256.0,0.002009299999826908,165.35876651118838,241.71810468377618,95.0,0.14514879999978803,19,original
17.0,1.0483421514997082,82.01563278866327,0.36942320000025575,0.025607641266380727,40.52529315206813,0.16223440000021583,207.8731430556118,427.2405725287824,0.260450000000219,0.653103893578444,0.6981685216170077,0.2790772999996989,0.0,1995.6685465173061,0.10668940000005023,5.82485294342041,256.0,0.0015220999998746265,171.8433271044458,245.70542724166282,142.0,0.18182969999998022,20,original
2.0,0.0,239.8775536196269,0.31359329999986585,0.05635389514969469,49.343948449656295,0.1637908000002426,211.5347089435148,318.29513495665157,0.20550180000009277,0.6944394240409903,1.2108257753844884,0.28792169999996986,0.0,3121.6509294660377,0.10946740000008504,4.910377502441406,256.0,0.002209300000231451,184.48387016149942,248.94426874053983,115.0,0.14838529999997263,21,original
41.0,1.0483421514996663,86.39981771406559,0.32151410000005853,0.02991759300022012,32.20560254117111,0.16134520000014163,204.74965940143804,396.72121874149906,0.16238549999980023,0.5966570593954068,0.8930851405086254,0.275858700000299,0.0,2552.4388443601274,0.11308879999978672,5.206419467926025,256.0,0.00226829999974143,170.97485002016754,242.4269045435637,106.0,0.14188070000000153,22,original
0.0,0.0,237.3484418260077,0.2913524000000507,0.03411687630308664,29.28965884698719,0.15101709999999002,207.07359325226662,316.9449052808471,0.22576429999980974,0.4471972840041059,1.0743036443027163,0.26993910000010146,0.0,1809.1194772534798,0.10305430000016713,3.007680892944336,256.0,0.002645900000061374,182.46511206002452,244.16354367779513,106.0,0.14410440000028757,23,original
3.0,1.0483421514996663,103.40716196427091,0.40147109999998065,0.015048322340964182,28.423286750398432,0.19150459999991654,208.73985986030812,347.7276739809112,0.320551499999965,0.5268593193788943,0.6528618838410312,0.3179931999998189,0.0,1720.8387712202762,0.13215190000028088,4.525181293487549,256.0,0.0027049000000261003,176.35690521295354,247.41983727069078,116.0,0.17460179999989123,24,original
4.0,1.0483421514996663,178.28395769744625,0.4179183999999623,0.030396391897796957,44.303084973292314,0.19336250000014843,212.44526138587116,357.7211522085265,0.24664869999969596,0.6170836463891461,0.8203739147098816,0.3238422000003993,0.0,3891.093259476347,0.12405540000008841,5.11582088470459,256.0,0.0020577000000230328,180.88795960682737,252.56616618060823,125.0,0.15326909999976124,25,original
